soil_moisture (%),temperature (°C),humidity (%),rainfall (mm),water_needed (liters)
61,32,54,17,125
24,42,20,3,450
70,44,59,1,240
30,40,83,13,320
33,34,41,12,315
12,42,79,11,430
31,22,83,6,385
62,43,30,1,280
11,23,33,12,425
39,21,79,13,275
47,15,49,16,205
11,17,54,8,465
73,27,56,16,75
69,42,24,7,185
30,44,45,1,440
42,39,81,12,270
67,42,23,2,245
31,31,61,15,295
58,39,37,5,260
68,38,59,18,80
51,15,58,6,285
69,20,33,9,165
24,35,51,8,400
71,20,70,1,235
71,40,57,14,105
56,26,42,4,280
71,27,82,3,215
60,27,34,19,110
64,43,44,3,250
73,29,36,17,65
12,35,85,3,510
60,30,72,16,140
16,36,70,11,410
30,35,58,16,290
48,25,70,9,270
27,42,89,0,465
13,19,25,17,365
69,18,86,17,85
23,17,26,13,355
18,33,70,14,370
62,34,61,11,180
11,39,83,3,515
69,32,34,2,235
53,29,48,19,145
17,23,52,11,405
56,31,46,6,260
44,28,55,10,280
45,29,48,0,375
59,15,57,5,255
13,35,76,14,395
11,36,46,14,405
15,36,74,18,345
63,17,52,10,185
13,30,87,1,525
63,37,85,13,155
72,39,29,1,230
27,25,24,3,435
53,26,57,16,175
43,24,32,2,365
71,30,50,12,125
23,22,66,8,405
57,20,71,6,255
24,26,75,14,340
71,38,34,10,145
49,42,48,19,165
62,35,27,1,280
33,22,24,14,295
35,40,48,13,295
69,42,66,19,65
50,18,87,10,250
38,40,64,2,390
24,22,21,16,320
54,40,46,11,220
74,42,55,14,90
18,32,55,15,360
10,42,45,4,510
17,42,62,19,325
72,19,46,5,190
20,23,88,18,320
17,18,39,4,475
44,41,30,2,360
44,36,57,0,380
42,31,25,5,340
14,23,42,14,390
50,15,66,1,340
37,35,65,2,395
16,34,31,16,360
21,27,32,11,385
43,42,81,17,215
42,30,79,14,250
57,43,62,11,205
32,27,87,15,290
71,28,24,7,175
46,17,56,13,240
53,43,50,16,175
44,20,28,7,310
74,32,70,14,90
56,33,48,13,190
12,19,59,17,370
10,29,60,19,360
14,39,30,6,470
23,16,42,2,465
36,24,20,11,310
18,38,65,2,490
24,44,40,19,290
51,32,55,13,215
60,41,73,14,160
72,27,76,13,110
61,19,20,6,235
13,37,82,16,375
32,38,73,11,330
24,15,74,19,290
52,36,59,3,310
38,15,34,8,330
45,32,40,5,325
22,29,66,15,340
41,31,72,1,385
68,25,28,7,190
37,35,71,10,315
75,40,76,12,105
51,39,45,16,185
54,36,60,7,260
71,41,54,17,75
66,41,82,17,100
15,31,44,13,395
37,27,57,14,275
37,15,21,5,365
53,16,26,10,235
39,23,53,12,285
